State,County,City,Neighborhood,Link
CA,Santa Clara,San Jose,Albanese Circle,https://nextdoor.com/neighborhood/albanesecircle--san-jose--ca/
CA,Santa Clara,San Jose,Almaden,https://nextdoor.com/neighborhood/almadenca--san-jose--ca/
CA,Santa Clara,San Jose,Alvin/Burdette,https://nextdoor.com/neighborhood/7alvinburdette--san-jose--ca/
CA,Santa Clara,San Jose,Alviso,https://nextdoor.com/neighborhood/4alviso--san-jose--ca/
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,https://nextdoor.com/neighborhood/3littleportugalnorth--san-jose--ca/
CA,Santa Clara,San Jose,Arbuckle,https://nextdoor.com/neighborhood/5arbuckle--san-jose--ca/
CA,Santa Clara,San Jose,Archer - North 4th,https://nextdoor.com/neighborhood/archer4th--san-jose--ca/
CA,Santa Clara,San Jose,Ascent,https://nextdoor.com/neighborhood/ascentca--san-jose--ca/
CA,Santa Clara,San Jose,Autumnvale,https://nextdoor.com/neighborhood/4autumnvale--san-jose--ca/
CA,Santa Clara,San Jose,Avana Skyway,https://nextdoor.com/neighborhood/avanaskyway--san-jose--ca/
CA,Santa Clara,San Jose,Avenida Espana,https://nextdoor.com/neighborhood/2avenidaespana--san-jose--ca/
CA,Santa Clara,San Jose,AvenueOne,https://nextdoor.com/neighborhood/avenueone--san-jose--ca/
CA,Santa Clara,San Jose,Baker West,https://nextdoor.com/neighborhood/1bakerwest--san-jose--ca/
CA,Santa Clara,San Jose,Baltic Way,https://nextdoor.com/neighborhood/balticway--san-jose--ca/
CA,Santa Clara,San Jose,Bascom Ave,https://nextdoor.com/neighborhood/bascomave--san-jose--ca/
CA,Santa Clara,San Jose,Basking Ridge,https://nextdoor.com/neighborhood/2baskingridge--san-jose--ca/
CA,Santa Clara,San Jose,Baton Rouge,https://nextdoor.com/neighborhood/batonrougeca--san-jose--ca/
CA,Santa Clara,San Jose,Bel Aire-Hillstone,https://nextdoor.com/neighborhood/8belaire-hillstone--san-jose--ca/
CA,Santa Clara,San Jose,Bella Villagio,https://nextdoor.com/neighborhood/bellavillagio--san-jose--ca/
CA,Santa Clara,San Jose,Berryessa,https://nextdoor.com/neighborhood/berryessaca--san-jose--ca/
CA,Santa Clara,San Jose,Berry Park,https://nextdoor.com/neighborhood/10berrypark2--san-jose--ca/
CA,Santa Clara,San Jose,Betty Ann,https://nextdoor.com/neighborhood/bettyann--san-jose--ca/
CA,Santa Clara,San Jose,Bevin  Brook,https://nextdoor.com/neighborhood/7bevinbrook--san-jose--ca/
CA,Santa Clara,San Jose,Blackford NAC,https://nextdoor.com/neighborhood/blackfordnacsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Blossom Hill,https://nextdoor.com/neighborhood/blossomhillca--san-jose--ca/
CA,Santa Clara,San Jose,Blossom  River,https://nextdoor.com/neighborhood/9blossomriver--san-jose--ca/
CA,Santa Clara,San Jose,Blossom Trails,https://nextdoor.com/neighborhood/blossomtrails--san-jose--ca/
CA,Santa Clara,San Jose,Blossom Valley,https://nextdoor.com/neighborhood/2blossomvalleyna--san-jose--ca/
CA,Santa Clara,San Jose,Blossom Village,https://nextdoor.com/neighborhood/10blossomvillage--san-jose--ca/
CA,Santa Clara,San Jose,Bonnett,https://nextdoor.com/neighborhood/9bonnett--san-jose--ca/
CA,Santa Clara,San Jose,Boulder,https://nextdoor.com/neighborhood/4boulder--san-jose--ca/
CA,Santa Clara,San Jose,Branham/Jarvis,https://nextdoor.com/neighborhood/9branhamjarvis--san-jose--ca/
CA,Santa Clara,San Jose,Branham-Kirk,https://nextdoor.com/neighborhood/9branhamkirk--san-jose--ca/
CA,Santa Clara,San Jose,Branham-Meridian,https://nextdoor.com/neighborhood/9branhammeridian--san-jose--ca/
CA,Santa Clara,San Jose,Brigadoon,https://nextdoor.com/neighborhood/8brigadoonsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Brookfield,https://nextdoor.com/neighborhood/brookfieldsj--san-jose--ca/
CA,Santa Clara,San Jose,Brooktree,https://nextdoor.com/neighborhood/4brooktree--san-jose--ca/
CA,Santa Clara,San Jose,Brookvale/Chantel,https://nextdoor.com/neighborhood/brookvalechantel--san-jose--ca/
CA,Santa Clara,San Jose,Buena  Park,https://nextdoor.com/neighborhood/8buenapark--san-jose--ca/
CA,Santa Clara,San Jose,Buena Vista,https://nextdoor.com/neighborhood/buenavistasanjose--san-jose--ca/
CA,Santa Clara,San Jose,Burbank,https://nextdoor.com/neighborhood/6burbansanjose--san-jose--ca/
CA,Santa Clara,San Jose,Cadwallader,https://nextdoor.com/neighborhood/8cadwallader--san-jose--ca/
CA,Santa Clara,San Jose,Cahalan,https://nextdoor.com/neighborhood/10cahalan--san-jose--ca/
CA,Santa Clara,San Jose,Calero,https://nextdoor.com/neighborhood/2calero--san-jose--ca/
CA,Santa Clara,San Jose,California Gateway,https://nextdoor.com/neighborhood/4californiagateway--san-jose--ca/
CA,Santa Clara,San Jose,California Grove,https://nextdoor.com/neighborhood/2californiagrove--san-jose--ca/
CA,Santa Clara,San Jose,California Impressions,https://nextdoor.com/neighborhood/4californiaimpressions--san-jose--ca/
CA,Santa Clara,San Jose,California Oak Creek,https://nextdoor.com/neighborhood/8californiaoakcreek--san-jose--ca/
CA,Santa Clara,San Jose,California Renaissance,https://nextdoor.com/neighborhood/4renaissancesj--san-jose--ca/
CA,Santa Clara,San Jose,Calvert,https://nextdoor.com/neighborhood/calvert--san-jose--ca/
CA,Santa Clara,San Jose,Cambrian,https://nextdoor.com/neighborhood/9cambrian--san-jose--ca/
CA,Santa Clara,San Jose,Camden Village,https://nextdoor.com/neighborhood/10camdenvillage--san-jose--ca/
CA,Santa Clara,San Jose,Campagna Ca,https://nextdoor.com/neighborhood/campagnaca--san-jose--ca/
CA,Santa Clara,San Jose,Campbell Village,https://nextdoor.com/neighborhood/9campbellvillagesanjose--san-jose--ca/
CA,Santa Clara,San Jose,Campton Chase,https://nextdoor.com/neighborhood/10camptonchase--san-jose--ca/
CA,Santa Clara,San Jose,Canoas East,https://nextdoor.com/neighborhood/10canoaseast--san-jose--ca/
CA,Santa Clara,San Jose,Canoas Garden,https://nextdoor.com/neighborhood/6canoasgarden--san-jose--ca/
CA,Santa Clara,San Jose,Capewood,https://nextdoor.com/neighborhood/4capewood--san-jose--ca/
CA,Santa Clara,San Jose,Capitol Goss/Dobern,https://nextdoor.com/neighborhood/5capitolgossdobern--san-jose--ca/
CA,Santa Clara,San Jose,Capitol Village - Baroni,https://nextdoor.com/neighborhood/capitolvillagebaroni--san-jose--ca/
CA,Santa Clara,San Jose,Carlton Ave,https://nextdoor.com/neighborhood/9carlton--san-jose--ca/
CA,Santa Clara,San Jose,Carson,https://nextdoor.com/neighborhood/10carsonsj--san-jose--ca/
CA,Santa Clara,San Jose,Casa Del Lago Mobile Park,https://nextdoor.com/neighborhood/casadellagomobilepark--san-jose--ca/
CA,Santa Clara,San Jose,Cassell,https://nextdoor.com/neighborhood/5cassell--san-jose--ca/
CA,Santa Clara,San Jose,Castle Drive/Speciale,https://nextdoor.com/neighborhood/9castledrspeciale--san-jose--ca/
CA,Santa Clara,San Jose,Cataldi,https://nextdoor.com/neighborhood/4cataldi--san-jose--ca/
CA,Santa Clara,San Jose,Centerwood,https://nextdoor.com/neighborhood/8centerwood--san-jose--ca/
CA,Santa Clara,San Jose,Central San Jose - Coleman,https://nextdoor.com/neighborhood/downtownsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Chantilley,https://nextdoor.com/neighborhood/2chantilley--san-jose--ca/
CA,Santa Clara,San Jose,Charter,https://nextdoor.com/neighborhood/charterca--san-jose--ca/
CA,Santa Clara,San Jose,Checkers,https://nextdoor.com/neighborhood/3checkers--san-jose--ca/
CA,Santa Clara,San Jose,Cherrywood,https://nextdoor.com/neighborhood/4cherrywoodca--san-jose--ca/
CA,Santa Clara,San Jose,Cinnabar,https://nextdoor.com/neighborhood/10cinnabar--san-jose--ca/
CA,Santa Clara,San Jose,Clayton Road,https://nextdoor.com/neighborhood/5claytonroad--san-jose--ca/
CA,Santa Clara,San Jose,Clearsprign,https://nextdoor.com/neighborhood/clearsprign--san-jose--ca/
CA,Santa Clara,San Jose,College Park,https://nextdoor.com/neighborhood/6collegepark--san-jose--ca/
CA,Santa Clara,San Jose,Colony  Green,https://nextdoor.com/neighborhood/10colonygreen--san-jose--ca/
CA,Santa Clara,San Jose,Comanche,https://nextdoor.com/neighborhood/10comanche--san-jose--ca/
CA,Santa Clara,San Jose,Commodore,https://nextdoor.com/neighborhood/4commodore--san-jose--ca/
CA,Santa Clara,San Jose,Communications Hill (North),https://nextdoor.com/neighborhood/7communicationshill--san-jose--ca/
CA,Santa Clara,San Jose,Communications Hill (South),https://nextdoor.com/neighborhood/7communicationhill--san-jose--ca/
CA,Santa Clara,San Jose,Corde Terra Circle,https://nextdoor.com/neighborhood/cordeterracircle--san-jose--ca/
CA,Santa Clara,San Jose,Cory,https://nextdoor.com/neighborhood/6cory--san-jose--ca/
CA,Santa Clara,San Jose,Cottle-Lean,https://nextdoor.com/neighborhood/cottlelean--san-jose--ca/
CA,Santa Clara,San Jose,Countrybrook/Lagoon,https://nextdoor.com/neighborhood/4countrybrooklagoon--san-jose--ca/
CA,Santa Clara,San Jose,Country Club,https://nextdoor.com/neighborhood/10countryclubsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Country Lane,https://nextdoor.com/neighborhood/1countrylane--san-jose--ca/
CA,Santa Clara,San Jose,Courtyards/Villas at Lundy,https://nextdoor.com/neighborhood/4courtyardsvillas--san-jose--ca/
CA,Santa Clara,San Jose,Coyote Creek,https://nextdoor.com/neighborhood/2coyotecreek--san-jose--ca/
CA,Santa Clara,San Jose,Creekland,https://nextdoor.com/neighborhood/4creekland--san-jose--ca/
CA,Santa Clara,San Jose,Creekside,https://nextdoor.com/neighborhood/8creeksidesanjose1--san-jose--ca/
CA,Santa Clara,San Jose,Crescent Village,https://nextdoor.com/neighborhood/crescentvillage1--san-jose--ca/
CA,Santa Clara,San Jose,Crossgate,https://nextdoor.com/neighborhood/10crossgate--san-jose--ca/
CA,Santa Clara,San Jose,Croydon,https://nextdoor.com/neighborhood/10croydonsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Cureton,https://nextdoor.com/neighborhood/5cureton--san-jose--ca/
CA,Santa Clara,San Jose,Dartmouth,https://nextdoor.com/neighborhood/9dartmouth--san-jose--ca/
CA,Santa Clara,San Jose,Delmas Park,https://nextdoor.com/neighborhood/3delmaspark--san-jose--ca/
CA,Santa Clara,San Jose,Del Robles,https://nextdoor.com/neighborhood/10delrobles--san-jose--ca/
CA,Santa Clara,San Jose,Dentwood,https://nextdoor.com/neighborhood/9dentwood--san-jose--ca/
CA,Santa Clara,San Jose,De Voss,https://nextdoor.com/neighborhood/9devoss--san-jose--ca/
CA,Santa Clara,San Jose,Dilworth,https://nextdoor.com/neighborhood/1dilworth--san-jose--ca/
CA,Santa Clara,San Jose,Doerr,https://nextdoor.com/neighborhood/9doerr--san-jose--ca/
CA,Santa Clara,San Jose,Dorsa,https://nextdoor.com/neighborhood/5dorsa--san-jose--ca/
CA,Santa Clara,San Jose,Downing - Whitethorne,https://nextdoor.com/neighborhood/6downingwhitethorne--san-jose--ca/
CA,Santa Clara,San Jose,Downtown,https://nextdoor.com/neighborhood/downtownsanjoseca--san-jose--ca/
CA,Santa Clara,San Jose,Dry Creek,https://nextdoor.com/neighborhood/9drycreekca--san-jose--ca/
CA,Santa Clara,San Jose,East Ct West Ct,https://nextdoor.com/neighborhood/3eastctwestct--san-jose--ca/
CA,Santa Clara,San Jose,Easterbrook,https://nextdoor.com/neighborhood/1easterbrook--san-jose--ca/
CA,Santa Clara,San Jose,East Foothills,https://nextdoor.com/neighborhood/5eastfoothillsca--san-jose--ca/
CA,Santa Clara,San Jose,EDD America\xe2\x80\x99s Job Center,https://nextdoor.com/neighborhood/eddamericasjobcenter--san-jose--ca/
CA,Santa Clara,San Jose,Eden,https://nextdoor.com/neighborhood/1eden--san-jose--ca/
CA,Santa Clara,San Jose,Edge,https://nextdoor.com/neighborhood/8edge--san-jose--ca/
CA,Santa Clara,San Jose,Ellis-Louise,https://nextdoor.com/neighborhood/6ellis-louise--san-jose--ca/
CA,Santa Clara,San Jose,Ellmar Oaks,https://nextdoor.com/neighborhood/ellmaroaks--san-jose--ca/
CA,Santa Clara,San Jose,Erikson,https://nextdoor.com/neighborhood/erikson--san-jose--ca/
CA,Santa Clara,San Jose,Estates,https://nextdoor.com/neighborhood/8estates--san-jose--ca/
CA,Santa Clara,San Jose,Evans,https://nextdoor.com/neighborhood/6evans--san-jose--ca/
CA,Santa Clara,San Jose,Everdale/Neimen,https://nextdoor.com/neighborhood/8everdaleneimen--san-jose--ca/
CA,Santa Clara,San Jose,Evergreen,https://nextdoor.com/neighborhood/8evergreenfriends--san-jose--ca/
CA,Santa Clara,San Jose,Evinpark,https://nextdoor.com/neighborhood/evinpark--san-jose--ca/
CA,Santa Clara,San Jose,Fairglen Eichlers,https://nextdoor.com/neighborhood/9fairgleneichlers--san-jose--ca/
CA,Santa Clara,San Jose,Farm Drive,https://nextdoor.com/neighborhood/6farmdrive--san-jose--ca/
CA,Santa Clara,San Jose,Ferrari/Pinoche,https://nextdoor.com/neighborhood/7ferraripinoche--san-jose--ca/
CA,Santa Clara,San Jose,Flickinger North,https://nextdoor.com/neighborhood/4flickingernorth--san-jose--ca/
CA,Santa Clara,San Jose,Forest - Pruneridge,https://nextdoor.com/neighborhood/forestpruneridgeca--san-jose--ca/
CA,Santa Clara,San Jose,Fowler Creek,https://nextdoor.com/neighborhood/8fowler--san-jose--ca/
CA,Santa Clara,San Jose,Frontier Village,https://nextdoor.com/neighborhood/frontiervillage--san-jose--ca/
CA,Santa Clara,San Jose,Garden/Villa  Monterey,https://nextdoor.com/neighborhood/7gardenvillamonterey--san-jose--ca/
CA,Santa Clara,San Jose,Gateway East,https://nextdoor.com/neighborhood/5gatewayeast--san-jose--ca/
CA,Santa Clara,San Jose,Gilchrist,https://nextdoor.com/neighborhood/gilchristsj--san-jose--ca/
CA,Santa Clara,San Jose,Glenview Serenity,https://nextdoor.com/neighborhood/10glenviewserenity--san-jose--ca/
CA,Santa Clara,San Jose,Good Sam,https://nextdoor.com/neighborhood/goodsam--san-jose--ca/
CA,Santa Clara,San Jose,Goodyear/Alma,https://nextdoor.com/neighborhood/3goodyearalma--san-jose--ca/
CA,Santa Clara,San Jose,Gordy,https://nextdoor.com/neighborhood/4gordy--san-jose--ca/
CA,Santa Clara,San Jose,Graystone,https://nextdoor.com/neighborhood/10graystone--san-jose--ca/
CA,Santa Clara,San Jose,Greater Rose Garden,https://nextdoor.com/neighborhood/6rosegarden--san-jose--ca/
CA,Santa Clara,San Jose,Great Oaks,https://nextdoor.com/neighborhood/2greatoaks--san-jose--ca/
CA,Santa Clara,San Jose,Greylands,https://nextdoor.com/neighborhood/6greylands--san-jose--ca/
CA,Santa Clara,San Jose,Groesbeck Hill Park,https://nextdoor.com/neighborhood/8grosbeckhillpark--san-jose--ca/
CA,Santa Clara,San Jose,Guadalupe River Trail,https://nextdoor.com/neighborhood/guadaluperivertrail--san-jose--ca/
CA,Santa Clara,San Jose,Hammer,https://nextdoor.com/neighborhood/9hammer--san-jose--ca/
CA,Santa Clara,San Jose,Hampton Park,https://nextdoor.com/neighborhood/hamptonpark2--san-jose--ca/
CA,Santa Clara,San Jose,Hathaway,https://nextdoor.com/neighborhood/1hathaway--san-jose--ca/
CA,Santa Clara,San Jose,Hayes,https://nextdoor.com/neighborhood/2hayes--san-jose--ca/
CA,Santa Clara,San Jose,Hellyer-Christopher,https://nextdoor.com/neighborhood/hellyerchristopher--san-jose--ca/
CA,Santa Clara,San Jose,Helzer Court,https://nextdoor.com/neighborhood/helzercourtca--san-jose--ca/
CA,Santa Clara,San Jose,Hensley,https://nextdoor.com/neighborhood/3hensley--san-jose--ca/
CA,Santa Clara,San Jose,Heritage,https://nextdoor.com/neighborhood/8heritagesanjose--san-jose--ca/
CA,Santa Clara,San Jose,Hermitage,https://nextdoor.com/neighborhood/4hermitage--san-jose--ca/
CA,Santa Clara,San Jose,Hidden Glen,https://nextdoor.com/neighborhood/8hiddenglen--san-jose--ca/
CA,Santa Clara,San Jose,Hillsdale,https://nextdoor.com/neighborhood/7hillsdale--san-jose--ca/
CA,Santa Clara,San Jose,Hilltop Manor,https://nextdoor.com/neighborhood/hilltopmanorsj--san-jose--ca/
CA,Santa Clara,San Jose,Hillview,https://nextdoor.com/neighborhood/10hillviewsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Hoffman Via Monte,https://nextdoor.com/neighborhood/10hoffmanviamonte--san-jose--ca/
CA,Santa Clara,San Jose,Holland,https://nextdoor.com/neighborhood/10holland--san-jose--ca/
CA,Santa Clara,San Jose,Holly Oaks,https://nextdoor.com/neighborhood/8hollyoakssanjose--san-jose--ca/
CA,Santa Clara,San Jose,Horace Mann,https://nextdoor.com/neighborhood/3horacemann--san-jose--ca/
CA,Santa Clara,San Jose,Houge Park,https://nextdoor.com/neighborhood/9hougepark--san-jose--ca/
CA,Santa Clara,San Jose,Hyde Park,https://nextdoor.com/neighborhood/3hydeparksanjose--san-jose--ca/
CA,Santa Clara,San Jose,James Lick,https://nextdoor.com/neighborhood/5jameslick--san-jose--ca/
CA,Santa Clara,San Jose,Japantown,https://nextdoor.com/neighborhood/3japantownsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Jeffrey Fontana Park,https://nextdoor.com/neighborhood/10jeffreyfontanaparkarea--san-jose--ca/
CA,Santa Clara,San Jose,Joseph George,https://nextdoor.com/neighborhood/5josephgeorge--san-jose--ca/
CA,Santa Clara,San Jose,Julian - St. James,https://nextdoor.com/neighborhood/julianstjames--san-jose--ca/
CA,Santa Clara,San Jose,Kamal Spice,https://nextdoor.com/neighborhood/kamalspice--san-jose--ca/
CA,Santa Clara,San Jose,Kennedy,https://nextdoor.com/neighborhood/7kennedy--san-jose--ca/
CA,Santa Clara,San Jose,Kenwood,https://nextdoor.com/neighborhood/7kenwood--san-jose--ca/
CA,Santa Clara,San Jose,Kettman/Pomeroy,https://nextdoor.com/neighborhood/8kettmanpomeroy--san-jose--ca/
CA,Santa Clara,San Jose,King Rd,https://nextdoor.com/neighborhood/kingrd--san-jose--ca/
CA,Santa Clara,San Jose,Knights Bridge,https://nextdoor.com/neighborhood/4knightsbridge--san-jose--ca/
CA,Santa Clara,San Jose,Kooser,https://nextdoor.com/neighborhood/9kooser--san-jose--ca/
CA,Santa Clara,San Jose,Lakeside Commons,https://nextdoor.com/neighborhood/lakesidecommons--san-jose--ca/
CA,Santa Clara,San Jose,Lakeview Terrace,https://nextdoor.com/neighborhood/lakeviewterrace--san-jose--ca/
CA,Santa Clara,San Jose,Lamplighter,https://nextdoor.com/neighborhood/lamplighterca--san-jose--ca/
CA,Santa Clara,San Jose,Las Palmas,https://nextdoor.com/neighborhood/laspalmassanjose--san-jose--ca/
CA,Santa Clara,San Jose,Lattitude 37,https://nextdoor.com/neighborhood/lattitude37--san-jose--ca/
CA,Santa Clara,San Jose,Lavender Terrace,https://nextdoor.com/neighborhood/lavenderterrace--san-jose--ca/
CA,Santa Clara,San Jose,LBRNA,https://nextdoor.com/neighborhood/9lbrna--san-jose--ca/
CA,Santa Clara,San Jose,Leyva,https://nextdoor.com/neighborhood/8leyva--san-jose--ca/
CA,Santa Clara,San Jose,Lion Villas,https://nextdoor.com/neighborhood/lionvillas--san-jose--ca/
CA,Santa Clara,San Jose,Lochridge/Independence,https://nextdoor.com/neighborhood/lochridgeindependence--san-jose--ca/
CA,Santa Clara,San Jose,Locke,https://nextdoor.com/neighborhood/7locke--san-jose--ca/
CA,Santa Clara,San Jose,Lone  Bluff,https://nextdoor.com/neighborhood/7lonebluff--san-jose--ca/
CA,Santa Clara,San Jose,Lone Hill Highlands,https://nextdoor.com/neighborhood/9lonehillhighlands--san-jose--ca/
CA,Santa Clara,San Jose,Los Alamitos,https://nextdoor.com/neighborhood/10losalamitos--san-jose--ca/
CA,Santa Clara,San Jose,Los  Arboles,https://nextdoor.com/neighborhood/7losarboles--san-jose--ca/
CA,Santa Clara,San Jose,Los Paseos,https://nextdoor.com/neighborhood/2lospaseos--san-jose--ca/
CA,Santa Clara,San Jose,Lyndale,https://nextdoor.com/neighborhood/5lyndale--san-jose--ca/
CA,Santa Clara,San Jose,Lynhaven,https://nextdoor.com/neighborhood/1lynhavenca--san-jose--ca/
CA,Santa Clara,San Jose,Makati,https://nextdoor.com/neighborhood/2makati--san-jose--ca/
CA,Santa Clara,San Jose,Markingdon,https://nextdoor.com/neighborhood/5markingdon--san-jose--ca/
CA,Santa Clara,San Jose,Maxine Ave,https://nextdoor.com/neighborhood/6maxineave--san-jose--ca/
CA,Santa Clara,San Jose,Mayfair,https://nextdoor.com/neighborhood/5mayfair--san-jose--ca/
CA,Santa Clara,San Jose,McCollam,https://nextdoor.com/neighborhood/5mccollam--san-jose--ca/
CA,Santa Clara,San Jose,McKay-Ringwood,https://nextdoor.com/neighborhood/4mckayringwood--san-jose--ca/
CA,Santa Clara,San Jose,McKee/Jackson,https://nextdoor.com/neighborhood/5mckeejackson--san-jose--ca/
CA,Santa Clara,San Jose,McKinley - Bonita,https://nextdoor.com/neighborhood/3mckinleybonita--san-jose--ca/
CA,Santa Clara,San Jose,Mc Kuen,https://nextdoor.com/neighborhood/10mckuen--san-jose--ca/
CA,Santa Clara,San Jose,McKuen West,https://nextdoor.com/neighborhood/mckuenwest--san-jose--ca/
CA,Santa Clara,San Jose,Meadow Fair,https://nextdoor.com/neighborhood/8meadowfair--san-jose--ca/
CA,Santa Clara,San Jose,Meadowlands,https://nextdoor.com/neighborhood/8meadowlandsca--san-jose--ca/
CA,Santa Clara,San Jose,Meadows,https://nextdoor.com/neighborhood/7meadowssanjose--san-jose--ca/
CA,Santa Clara,San Jose,Merrivale West,https://nextdoor.com/neighborhood/1merrivalewest--san-jose--ca/
CA,Santa Clara,San Jose,Messina Gardens,https://nextdoor.com/neighborhood/messinagardens--san-jose--ca/
CA,Santa Clara,San Jose,Metcalf,https://nextdoor.com/neighborhood/2metcalf--san-jose--ca/
CA,Santa Clara,San Jose,Midtown,https://nextdoor.com/neighborhood/midtownsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Miller,https://nextdoor.com/neighborhood/1miller--san-jose--ca/
CA,Santa Clara,San Jose,Mill Pond 1 & 2,https://nextdoor.com/neighborhood/7caroldrive--san-jose--ca/
CA,Santa Clara,San Jose,Mirassou Vineyards,https://nextdoor.com/neighborhood/8mirassouvineyards--san-jose--ca/
CA,Santa Clara,San Jose,Mitty,https://nextdoor.com/neighborhood/1mitty--san-jose--ca/
CA,Santa Clara,San Jose,Modern Ice,https://nextdoor.com/neighborhood/3modernice--san-jose--ca/
CA,Santa Clara,San Jose,Montecito Vista,https://nextdoor.com/neighborhood/montecitovista--san-jose--ca/
CA,Santa Clara,San Jose,Monterey Grove,https://nextdoor.com/neighborhood/montereygrove--san-jose--ca/
CA,Santa Clara,San Jose,Monterey Manor,https://nextdoor.com/neighborhood/montererymanner--san-jose--ca/
CA,Santa Clara,San Jose,Montevideo,https://nextdoor.com/neighborhood/10montevideo--san-jose--ca/
CA,Santa Clara,San Jose,Monticello,https://nextdoor.com/neighborhood/7monticello--san-jose--ca/
CA,Santa Clara,San Jose,Moreland West,https://nextdoor.com/neighborhood/1morelandwest--san-jose--ca/
CA,Santa Clara,San Jose,Morrill,https://nextdoor.com/neighborhood/4morrill--san-jose--ca/
CA,Santa Clara,San Jose,Mountain Shadows,https://nextdoor.com/neighborhood/10mountainshadowssanjose--san-jose--ca/
CA,Santa Clara,San Jose,Mountain Springs,https://nextdoor.com/neighborhood/mountainspringsca--san-jose--ca/
CA,Santa Clara,San Jose,Mt. Hamilton,https://nextdoor.com/neighborhood/mthamiltonca--san-jose--ca/
CA,Santa Clara,San Jose,Mt. Pleasant,https://nextdoor.com/neighborhood/5mtpleasant--san-jose--ca/
CA,Santa Clara,San Jose,Murdock,https://nextdoor.com/neighborhood/1murdock--san-jose--ca/
CA,Santa Clara,San Jose,Murillo,https://nextdoor.com/neighborhood/8murillo--san-jose--ca/
CA,Santa Clara,San Jose,Naglee Park,https://nextdoor.com/neighborhood/3nagleepark--san-jose--ca/
CA,Santa Clara,San Jose,Newhall,https://nextdoor.com/neighborhood/6newhallsj--san-jose--ca/
CA,Santa Clara,San Jose,Nieman Neighbors,https://nextdoor.com/neighborhood/niemanneighbors--san-jose--ca/
CA,Santa Clara,San Jose,Noble,https://nextdoor.com/neighborhood/4noble--san-jose--ca/
CA,Santa Clara,San Jose,Noddin,https://nextdoor.com/neighborhood/9noddin--san-jose--ca/
CA,Santa Clara,San Jose,North Flea Market,https://nextdoor.com/neighborhood/4northfleamarket--san-jose--ca/
